DATE,OPEN,HIGH,LOW,CLOSE
2013/2/28,1.3136,1.314,1.3042,1.3064
2013/3/1,1.3064,1.3162,1.305,1.3024
2013/3/4,1.3024,1.3101,1.2965,1.3017
2013/3/5,1.3017,1.3031,1.298,1.3039
2013/3/6,1.3039,1.3075,1.3011,1.2991
2013/3/7,1.2991,1.3071,1.2983,1.3106
2013/3/8,1.3106,1.3118,1.2967,1.2997
2013/3/11,1.2997,1.3134,1.2954,1.3031
2013/3/12,1.3031,1.3043,1.298,1.3034
2013/3/13,1.3034,1.3074,1.2991,1.296
2013/3/14,1.296,1.3065,1.2921,1.3005
2013/3/15,1.3005,1.3032,1.291,1.3059
2013/3/18,1.3059,1.3107,1.3,1.2934
2013/3/19,1.2934,1.3071,1.2882,1.2888
2013/3/20,1.2888,1.297,1.2843,1.294
2013/3/21,1.294,1.2978,1.2857,1.2904
2013/3/22,1.2904,1.2955,1.288,1.2981
2013/3/25,1.2981,1.301,1.2889,1.2857
2013/3/26,1.2857,1.3048,1.283,1.2858
2013/3/27,1.2858,1.289,1.2829,1.277
2013/3/28,1.277,1.2867,1.2751,1.2817
2013/3/29,1.2817,1.2845,1.2756,1.2813
2013/4/1,1.2813,1.2837,1.2794,1.2845
2013/4/2,1.2845,1.2868,1.2771,1.2814
2013/4/3,1.2814,1.2878,1.2807,1.2846
2013/4/4,1.2846,1.2864,1.279,1.2933
2013/4/5,1.2933,1.2949,1.2744,1.301
2013/4/8,1.301,1.304,1.29,1.2995
2013/4/9,1.2995,1.3038,1.2966,1.3083
2013/4/10,1.3083,1.3103,1.3005,1.3057
2013/4/11,1.3057,1.3122,1.3049,1.3111
2013/4/12,1.3111,1.3138,1.3044,1.3103
2013/4/15,1.3103,1.3126,1.3036,1.304
2013/4/16,1.304,1.3131,1.3032,1.3184
2013/4/17,1.3184,1.3201,1.3028,1.3022
2013/4/18,1.3022,1.32,1.2999,1.3053
2013/4/19,1.3053,1.3096,1.3021,1.3053
2013/4/22,1.3053,1.3129,1.3048,1.306
2013/4/23,1.306,1.3092,1.3014,1.2996
2013/4/24,1.2996,1.3084,1.297,1.3018
2013/4/25,1.3018,1.3034,1.2956,1.3005
2013/4/26,1.3005,1.3093,1.2988,1.303
2013/4/29,1.303,1.3048,1.2988,1.3093
2013/4/30,1.3093,1.3117,1.3032,1.3167
2013/5/1,1.3167,1.3186,1.3055,1.3175
2013/5/2,1.3175,1.3243,1.3161,1.3063
2013/5/3,1.3063,1.3218,1.3036,1.3114
2013/5/6,1.3114,1.3159,1.3032,1.3075
2013/5/7,1.3075,1.3141,1.305,1.3073
2013/5/8,1.3073,1.3132,1.3067,1.3154
2013/5/9,1.3154,1.3194,1.3072,1.3033
2013/5/10,1.3033,1.3177,1.3008,1.2985
2013/5/13,1.2985,1.3051,1.2933,1.2968
2013/5/14,1.2968,1.2999,1.294,1.294
2013/5/15,1.294,1.3029,1.2929,1.288
2013/5/16,1.288,1.2942,1.2841,1.2874
2013/5/17,1.2874,1.293,1.2847,1.2829
2013/5/20,1.2829,1.289,1.2797,1.2887
2013/5/21,1.2887,1.2901,1.282,1.2909
2013/5/22,1.2909,1.2934,1.2839,1.2852
2013/5/23,1.2852,1.2998,1.283,1.2931
2013/5/24,1.2931,1.2956,1.2822,1.2934
2013/5/27,1.2934,1.2993,1.2905,1.2929
2013/5/28,1.2929,1.295,1.2916,1.2871
2013/5/29,1.2871,1.295,1.285,1.2936
2013/5/30,1.2936,1.2977,1.2838,1.3047
2013/5/31,1.3047,1.3061,1.2934,1.2997
2013/6/3,1.2997,1.3059,1.2942,1.3074
